temp_ch_ipcc,model_author,gcm,period_scenario,experiment,mass_percent_rel_2020
1.996245046811256,GloGEMflow,mri-esm2-0,2041-2060_ssp126,mri-esm2-0_2041-2060_ssp126,53.99255899701125
1.996245046811256,OGGM_v16,mri-esm2-0,2041-2060_ssp126,mri-esm2-0_2041-2060_ssp126,32.76951870376307
1.996245046811256,PyGEM-OGGM_v13,mri-esm2-0,2041-2060_ssp126,mri-esm2-0_2041-2060_ssp126,22.706437190920923
2.049075466844948,GLIMB,ipsl-cm6a-lr,2041-2060_ssp126,ipsl-cm6a-lr_2041-2060_ssp126,37.00920559427175
2.049075466844948,GloGEMflow,ipsl-cm6a-lr,2041-2060_ssp126,ipsl-cm6a-lr_2041-2060_ssp126,61.456779569799686
2.049075466844948,OGGM_v16,ipsl-cm6a-lr,2041-2060_ssp126,ipsl-cm6a-lr_2041-2060_ssp126,30.8172890894862
2.049075466844948,PyGEM-OGGM_v13,ipsl-cm6a-lr,2041-2060_ssp126,ipsl-cm6a-lr_2041-2060_ssp126,21.660906968241886
2.0496075314919837,GLIMB,gfdl-esm4,2041-2060_ssp370,gfdl-esm4_2041-2060_ssp370,44.929075189345234
2.0496075314919837,GloGEMflow,gfdl-esm4,2041-2060_ssp370,gfdl-esm4_2041-2060_ssp370,61.601213146377624
2.0496075314919837,OGGM_v16,gfdl-esm4,2041-2060_ssp370,gfdl-esm4_2041-2060_ssp370,37.964811944194096
2.0496075314919837,PyGEM-OGGM_v13,gfdl-esm4,2041-2060_ssp370,gfdl-esm4_2041-2060_ssp370,25.3630037241751
2.0912659163195166,GLIMB,mri-esm2-0,2061-2080_ssp126,mri-esm2-0_2061-2080_ssp126,40.003661098260395
2.0912659163195166,GloGEMflow,mri-esm2-0,2061-2080_ssp126,mri-esm2-0_2061-2080_ssp126,55.74863958622211
2.0912659163195166,OGGM_v16,mri-esm2-0,2061-2080_ssp126,mri-esm2-0_2061-2080_ssp126,35.09144199079454
2.0912659163195166,PyGEM-OGGM_v13,mri-esm2-0,2061-2080_ssp126,mri-esm2-0_2061-2080_ssp126,23.13589459123097
2.092677030991532,GLIMB,mpi-esm1-2-hr,2041-2060_ssp370,mpi-esm1-2-hr_2041-2060_ssp370,40.75117604256101
2.092677030991532,GloGEMflow,mpi-esm1-2-hr,2041-2060_ssp370,mpi-esm1-2-hr_2041-2060_ssp370,62.054940163945034
2.092677030991532,OGGM_v16,mpi-esm1-2-hr,2041-2060_ssp370,mpi-esm1-2-hr_2041-2060_ssp370,38.82725665714417
2.092677030991532,PyGEM-OGGM_v13,mpi-esm1-2-hr,2041-2060_ssp370,mpi-esm1-2-hr_2041-2060_ssp370,24.71715336562457
2.1396524250416253,GLIMB,mpi-esm1-2-hr,2041-2060_ssp585,mpi-esm1-2-hr_2041-2060_ssp585,40.988596762200274
2.1396524250416253,GloGEMflow,mpi-esm1-2-hr,2041-2060_ssp585,mpi-esm1-2-hr_2041-2060_ssp585,65.43554421615625
