RGIId,calving_k,calving_k_nmad,calving_thick,calving_flux_Gta,fa_gta_obs,fa_gta_obs_unc,fa_gta_max,calving_flux_Gta_bndlow,calving_flux_Gta_bndhigh,no_errors,oggm_dynamics,mb_clim_gta,mb_total_gta,mb_clim_mwea,mb_total_mwea,area_km2,mb_total_gta_obs,mb_clim_gta_obs,mb_total_mwea_obs,mb_clim_mwea_obs,calving_flux_Gta_rnd1,calving_k_rnd1,O1Region
RGI60-17.02279,2.9,0.83485,252.4832337,0.006146463,,0,0,0,0,1,1,-0.009026421,-0.015172884,-0.391143609,-0.657489461,23.077,0,-0.01087036,-0.471047364,-0.471047364,0,0,0
RGI60-17.02376,2.9,0.83485,97.89767967,0.000420047,,0,0,0,0,1,1,-0.004462114,-0.004882162,-0.24621279,-0.269390367,18.123,0,-0.004588129,-0.253166063,-0.253166063,0,0,0
RGI60-17.02389,2.9,0.83485,53.98761095,2.91E-05,,0,0,0,0,1,1,-0.015396903,-0.01542598,-0.270068995,-0.270579007,57.011,0,-0.015405626,-0.270221999,-0.270221999,0,0,0
RGI60-17.02474,2.9,0.83485,877.7500121,0.052864976,,0,0,0,0,1,1,0.006651837,-0.046213139,0.285327382,-1.982290524,23.313,0,-0.009207656,-0.39495799,-0.39495799,0,0,0
RGI60-17.02531,2.9,0.83485,149.2607153,0.006622389,,0,0,0,0,1,1,-0.135462616,-0.142085005,-2.664488912,-2.794748335,50.84,0,-0.137449333,-2.703566739,-2.703566739,0,0,0
RGI60-17.02538,2.9,0.83485,64.96910516,5.52E-05,,0,0,0,0,1,1,-0.003473001,-0.003528159,-0.321098468,-0.326198152,10.816,0,-0.003489548,-0.322628373,-0.322628373,0,0,0
RGI60-17.02551,2.9,0.83485,32.0686658,0,,0,0,0,0,1,1,-0.003721514,-0.003721514,-2.25000819,-2.25000819,1.654,0,-0.003721514,-2.25000819,-2.25000819,0,0,0
RGI60-17.02561,2.9,0.83485,484.4714521,0.05987916,,0,0,0,0,1,1,0.005123131,-0.054756029,0.146819825,-1.569210426,34.894,0,-0.012840617,-0.367989251,-0.367989251,0,0,0
RGI60-17.02570,2.9,0.83485,131.760703,0.002232479,,0,0,0,0,1,1,-0.015261515,-0.017493995,-0.369215325,-0.423224745,41.335,0,-0.015931259,-0.385418151,-0.385418151,0,0,0
RGI60-17.02584,2.9,0.83485,737.3144585,0.042597173,,0,0,0,0,1,1,0.008410042,-0.034187131,0.441170948,-1.793376232,19.063,0,-0.00436911,-0.229193206,-0.229193206,0,0,0
