RGIId,AAR_mean,AAR_steady,disequilibrium
RGI60-13.01024,0.733002411,0.691185397,1.06050043
RGI60-13.01025,0.69597011,0.290433909,2.396311475
RGI60-13.01027,0.413851775,0.440473622,0.93956086
RGI60-13.01033,0.51776973,0.424009103,1.221128808
RGI60-13.01035,0.598658088,0.681573909,0.878346545
RGI60-13.01038,0.368257942,0.570620545,0.645363974
RGI60-13.01041,0.599394573,0.562803366,1.065015971
RGI60-13.01044,0.557460289,0.577589403,0.965149787
RGI60-13.01045,0.409135135,0.402191146,1.017265393
RGI60-13.01050,0.423081383,0.520823267,0.812331956
RGI60-13.01055,0.436533273,0.729534077,0.598372696
RGI60-13.01057,0.590868045,0.520591106,1.134994506
RGI60-13.01058,0.380861992,0.444793637,0.856266727
RGI60-13.01063,0.554332785,0.474284149,1.1687778
RGI60-13.01066,0.641080159,0.577076983,1.110909252
RGI60-13.01068,0.729721472,0.543658285,1.342242898
RGI60-13.01070,0.433465917,0.211228898,2.052114659
RGI60-13.01090,0.557650644,0.542780416,1.027396398
RGI60-13.01091,0.621897827,0.641198915,0.96989844
RGI60-13.01092,0.639567826,0.312922403,2.043854386
RGI60-13.01093,0.530996705,0.286444198,1.853752698
RGI60-13.01096,0.661653588,0.605201551,1.093278078
RGI60-13.01098,0.549352117,0.581017918,0.945499442
RGI60-13.01099,0.523081268,0.60979111,0.857804023
RGI60-13.01100,0.497970886,0.578532265,0.860748684
RGI60-13.01107,0.567316661,0.390497601,1.45280447
RGI60-13.01113,0.452053969,0.505141072,0.894906382
RGI60-13.01114,0.702872034,0.765893921,0.917714601
RGI60-13.01121,0.743546938,0.695908991,1.068454278
RGI60-13.01122,0.881595862,0.730982467,1.206042417
RGI60-13.01124,0.52869391,0.746352993,0.708369786
RGI60-13.01125,0.590134611,0.553318241,1.066537423
RGI60-13.01129,0.294359494,0.174085498,1.690890382
RGI60-13.01133,0.518851535,0.391894363,1.323957637
RGI60-13.01135,0.878831928,0.752252449,1.168267287
