,RGIId,lat,lon,AAR_mean,AAR_steady,disequilibrium
3479,RGI60-07.00570,78.699997,17.183001,0.4783333333333333,0.49870503629595314,0.959150797605881
3504,RGI60-07.01464,78.8987,13.1805,0.3511,0.4126058159716455,0.850933230723359
3655,RGI60-14.18909,33.82,76.287003,0.43,,
3656,RGI60-14.18948,33.744223,76.288431,0.55,,
3659,,46.448169,10.69938,,,
3660,,64.669998,-20.1,0.371,0.5339734590623352,0.6947910869043588
3661,RGI60-08.00868,61.676998,8.351,,,
3690,RGI60-03.04552,75.400002,-115.0,0.33222222222222225,0.5540010684854327,0.5996779449008552
3754,,64.413002,-16.811001,,,
3801,RGI60-11.02764,46.009998,7.87,0.32900000000000007,0.5216981549571758,0.6306328609251195
3812,RGI60-07.00496,78.871201,12.1542,0.0986,0.39246305531464587,0.2512338388665662
3889,RGI60-13.07064,41.799,78.150597,0.28540000000000004,0.596916342928921,0.4781239505013596
3902,RGI60-17.14682,-29.976,-69.644997,0.0,0.0,
3903,RGI60-17.14681,-29.983,-69.641998,0.0,0.0,
3904,RGI60-17.14889,-29.296301,-69.995399,0.24375,0.30575193373222387,0.7972149089119911
3905,RGI60-17.14887,-29.302999,-70.000999,0.24,0.20313463401608636,1.1814824250058424
3931,,34.162034,75.341608,0.56125,0.6677767125858141,0.8404755503178398
3965,RGI60-05.10726,82.82,-36.43,,,
3972,RGI60-17.12440,-39.945,-72.015,0.035,0.599140414156315,0.058417024078213066
3973,,-77.760002,163.509995,,0.5489833958098567,
3983,RGI60-17.14868,-29.348043,-70.015732,0.17500000000000002,,
3987,RGI60-15.11693,29.3861,96.9756,0.1901,0.46699926249438395,0.40706702401331113
3996,RGI60-15.03586,27.713005,86.880918,0.44499999999999995,0.650895087331966,0.6836739263528094
3997,RGI60-15.03416,27.92656,86.83137,0.12300000000000003,0.32520325103571895,0.37822500115932184
4244,RGI60-05.07767,76.403999,-68.675003,,,
4323,,76.042368,62.678895,,,
4339,RGI60-11.02024,46.407902,9.82405,0.21999999999999992,0.4387128014795245,0.5014670172788831
4340,,46.596901,8.61188,0.09375,0.3840434056709936,0.24411303153663508
4532,RGI60-17.14642,-30.1649,-69.809402,0.25,0.5168785096823474,0.48367265289021183
4533,,,,,,
4535,RGI60-11.01962,46.415352,9.8216,0.1175,0.33062198155753275,0.35539076817115195
4566,RGI60-05.07217,64.162,-51.3598,0.26,0.4307053073999688,0.6036610079628167
4570,RGI60-01.00806,59.3363,-134.102997,,,
4630,RGI60-11.02072,46.379799,7.51662,0.015,0.046695857549653115,0.3212276374633456
4723,,,,,,
5466,,,,,,
5675,RGI60-11.02775,45.996899,7.05143,0.05,,
5698,,,,,,
