RGIId,calving_k,calving_k_nmad,calving_thick,calving_flux_Gta,fa_gta_obs,fa_gta_obs_unc,fa_gta_max,calving_flux_Gta_bndlow,calving_flux_Gta_bndhigh,no_errors,oggm_dynamics,mb_clim_gta,mb_total_gta,mb_clim_mwea,mb_total_mwea,area_km2,mb_total_gta_obs,mb_clim_gta_obs,mb_total_mwea_obs,mb_clim_mwea_obs,calving_flux_Gta_rnd1,calving_k_rnd1,O1Region
RGI60-05.06259,0.17500000000000002,0.07105,57.76298886612831,5.46149794782018e-06,,0.0,0.0,0.0,0.0,1.0,1.0,-0.00045820266651787887,-0.00046366416446569906,-0.3381569494596892,-0.3421875752514384,1.355,0.0,-0.0004598411159022249,-0.339366137197214,-0.339366137197214,0.0,0.0,0.0
RGI60-05.06303,0.17500000000000002,0.07105,43.97639044901969,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,-0.004396415140237129,-0.004396415140237129,-0.3696019453751264,-0.3696019453751265,11.895,0.0,-0.004396415140237129,-0.3696019453751264,-0.3696019453751264,0.0,0.0,0.0
RGI60-05.06309,0.17500000000000002,0.07105,46.654025241118454,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,-0.002053309627072187,-0.002053309627072187,-0.5854889156179603,-0.5854889156179605,3.5069999999999997,0.0,-0.002053309627072187,-0.5854889156179603,-0.5854889156179603,0.0,0.0,0.0
RGI60-05.06333,0.17500000000000002,0.07105,45.539712253275454,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,-0.0006243025295521369,-0.0006243025295521369,-0.3345672720000734,-0.3345672720000734,1.8659999999999999,0.0,-0.0006243025295521369,-0.3345672720000734,-0.3345672720000734,0.0,0.0,0.0
RGI60-05.06423,0.17500000000000002,0.07105,48.83538543863931,3.3805753845502575e-06,,0.0,0.0,0.0,0.0,1.0,1.0,-0.0005880661139532706,-0.0005914466893378208,-0.0753158445124578,-0.07574880754838893,7.808,0.0,-0.0005890802865686355,-0.07544573342323714,-0.07544573342323714,0.0,0.0,0.0
RGI60-05.06615,0.17500000000000002,0.07105,90.63040717249288,7.379885881251339e-05,,0.0,0.0,0.0,0.0,1.0,1.0,9.646736330235532e-05,2.266850448984193e-05,0.21484936147517888,0.05048664697069472,0.449,0.0,9.646736330235532e-05,0.21484936147517888,0.21484936147517888,0.0,0.0,0.0
RGI60-05.06638,0.17500000000000002,0.07105,176.9993471306139,0.000693665655181852,,0.0,0.0,0.0,0.0,1.0,1.0,-0.0012613973960331622,-0.0019550630512150144,-0.44415401268773325,-0.6884024828221882,2.84,0.0,-0.001469497092587718,-0.5174285537280697,-0.5174285537280697,0.0,0.0,0.0
RGI60-05.06814,0.17500000000000002,0.07105,112.151486964904,0.00014113365923323855,,0.0,0.0,0.0,0.0,1.0,1.0,-0.001336307369120788,-0.0014774410283540267,-0.3745256079374406,-0.41408100570460393,3.568,0.0,-0.0013786474668907598,-0.3863922272675896,-0.3863922272675896,0.0,0.0,0.0
RGI60-05.06818,0.17500000000000002,0.07105,65.24194006782199,3.3596702841623923e-06,,0.0,0.0,0.0,0.0,1.0,1.0,-0.0005669837914173029,-0.0005703434617014652,-0.30223016600069447,-0.30402103502210304,1.876,0.0,-0.0005679916925025515,-0.30276742670711704,-0.30276742670711704,0.0,0.0,0.0
RGI60-05.06946,0.17500000000000002,0.07105,56.662899846919025,8.488223675006035e-06,,0.0,0.0,0.0,0.0,1.0,1.0,-0.00016083078653449746,-0.00016931901020950349,-0.7658608882595117,-0.8062810009976356,0.21,0.0,-0.00016083078653449746,-0.7658608882595117,-0.7658608882595117,0.0,0.0,0.0
RGI60-05.06970,0.17500000000000002,0.07105,67.1526961857513,2.372027834484006e-06,,0.0,0.0,0.0,0.0,1.0,1.0,-0.00011322861454027181,-0.00011560064237475582,-0.2579239511167923,-0.2633272035871431,0.439,0.0,-0.00011394022289061702,-0.25954492685789754,-0.25954492685789754,0.0,0.0,0.0
RGI60-05.06971,0.17500000000000002,0.07105,68.40640088092108,3.3872601938158975e-05,,0.0,0.0,0.0,0.0,1.0,1.0,-2.086504312612348e-05,-5.4737645064282454e-05,-0.1642916781584526,-0.43100507924631853,0.127,0.0,-2.086504312612348e-05,-0.1642916781584526,-0.1642916781584526,0.0,0.0,0.0
RGI60-05.06997,0.17500000000000002,0.07105,49.924414348823916,3.934491464011941e-06,,0.0,0.0,0.0,0.0,1.0,1.0,-0.0002309612199924199,-0.00023489571145643185,-0.46008211153868506,-0.4679197439371152,0.502,0.0,-0.00023214156743162347,-0.4624334012582141,-0.4624334012582141,0.0,0.0,0.0
RGI60-05.07159,0.17500000000000002,0.07105,43.98565243982724,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,0.0001642682641375721,0.0001642682641375721,0.10286052857706457,0.10286052857706457,1.597,0.0,0.0001642682641375721,0.10286052857706457,0.10286052857706457,0.0,0.0,0.0
RGI60-05.07162,0.17500000000000002,0.07105,51.51993627816105,6.488393350754305e-07,,0.0,0.0,0.0,0.0,1.0,1.0,-0.001204608454957834,-0.0012052572942929094,-0.17081798850791743,-0.17090999635463827,7.0520000000000005,0.0,-0.0012048031067583567,-0.17084559086193368,-0.17084559086193368,0.0,0.0,0.0
